F98F F930
F7C7 0
F7C0 0
F7AD 0
F7A3 0
F7B3 0
F7CE 0
F7D6 0
F7C5 0
F7B5 0
F7C6 0
F7FF 0
F846 0
F869 B
F857 0
F838 0
F843 0
F87C 2
F8C3 4
F8F2 0
F8E7 0
F8AE 8
F890 10
F8C0 28
F913 1
F942 0
F94B 0
F94E 0
F94E 0
F954 3
F977 10
F9A0 0
F9A4 0
F98A 8
F97F 2
F98D 0
F999 80
F996 80
F989 A1
F991 80
F9BC 41
F9E0 6
F9D9 88
F9C5 0
F9D6 4
F9FC 0
FA02 0
F9E8 0
F9D8 10
F9E6 0
FA02 3
FA09 20
F9EA 8
F9C7 1
F9D1 10
FA08 0
FA31 0
FA19 1
F9CD A
F998 0
F9AC 0
F9E8 0
FA06 0
F9DF 0
F996 2
F96A 0
F97E 0
F9B1 0
F9C1 0
F988 20
F933 10
F90C 20
F919 0
F921 0
F907 0
F8DA 40
F8A2 2
F86E 45
F863 0
F885 0
F898 0
F870 0
F83D 20
F82F 0
F839 2
F847 0
F85E 3
F862 0
F83F 0
F813 0
F80B 0
F81D 0
F827 0
F821 0
F811 0
F7FB 0
F7E0 0
F7C8 0
F7B6 0
F7B2 0
F7AD 0
F794 8
F763 0
F729 0
F706 0
F709 0
F71B 0
F711 0
F6EE 0
F6E1 0
F6F9 0
F712 0
F71A 0
F711 0
F6F5 0
F6E4 0
F6F9 0
F719 0
F712 0
F6E8 0
F6D1 0
F6EA 0
F721 0
F742 0
F730 0
F70D 0
F711 0
F738 0
F74F 0
F742 0
F726 0
F70F 0
F70E 0
F72F 0
F75D 0
F774 0
F76E 0
F762 0
F766 0
F788 0
F7BE 0
F7ED 5
F7F1 0
F7D0 0
F7C3 0
F7E4 0
F813 9
F82B 1
F828 0
F816 0
F80A 0
F817 0
F839 0
F863 10
F885 10
F887 0
F868 0
F85D 0
F894 D
F8E0 2
F8F9 1
F8E9 0
F8E2 2
F8EC 1
F908 10
F941 0
F97B 0
F986 0
F96D 0
F960 0
F974 0
F99C 1
F9C2 1
F9C5 10
F99C 0
F97D 8
F99C 14
F9D4 0
F9E5 0
F9D8 0
F9DB 10
F9E9 0
F9EB 1
F9F1 0
FA01 0
F9F9 1
F9D8 0
F9C9 0
F9D3 2
F9E0 0
F9E8 0
F9EA 0
F9DD 1
F9D3 0
F9E3 0
F9FD 0
FA03 0
F9F0 0
F9D1 2
F9BC 0
